chr1	3000826	3000828	0.91	11	10	B	G	+	9	8	-	2	2
chr1	3001006	3001008	1	18	18	B	G	+	15	15	-	3	3
chr1	3001017	3001019	1	18	18	B	G	+	15	15	-	3	3
chr1	3001276	3001278	0.8	10	8	B	G	+	9	7	-	1	1
chr1	3001628	3001630	0.953	21	20	B	G	+	19	18	-	2	2
chr1	3003225	3003227	1	3	3	-	G	+	0	0	-	3	3
chr1	3003338	3003340	1	15	15	B	G	+	8	8	-	7	7
chr1	3003378	3003380	0.895	19	17	B	G	+	11	10	-	8	7
chr1	3003581	3003583	1	21	21	B	G	+	11	11	-	10	10
chr1	3003639	3003641	0.118	17	2	B	G	+	5	2	-	12	0
chr1	3003720	3003722	0.834	12	10	B	G	+	4	3	-	8	7
chr1	3003884	3003886	1	20	20	B	G	+	10	10	-	10	10
chr1	3003897	3003899	1	20	20	B	G	+	11	11	-	9	9
chr1	3004529	3004531	0.819	11	9	B	G	+	6	5	-	5	4
chr1	3005997	3005999	0.847	13	11	-	G	+	0	0	-	13	11
chr1	3006186	3006188	1	13	13	B	G	+	3	3	-	10	10
chr1	3006415	3006417	1	8	8	B	G	+	5	5	-	3	3
chr1	3006781	3006783	nan	0	0	..	G	+	0	0	-	0	0
chr1	3006880	3006882	0.667	6	4	B	G	+	2	1	-	4	3
chr1	3007169	3007171	1	8	8	B	G	+	1	1	-	7	7
chr1	3007429	3007431	0.8	15	12	B	G	+	5	4	-	10	8
chr1	3007531	3007533	0.834	24	20	B	G	+	7	6	-	17	14
chr1	3007579	3007581	0.864	22	19	B	G	+	9	8	-	13	11
chr1	3007681	3007683	0.688	16	11	B	G	+	8	6	-	8	5
chr1	3008544	3008546	0.867	15	13	B	G	+	12	10	-	3	3
chr1	3008757	3008759	0.95	20	19	B	G	+	3	3	-	17	16
chr1	3008771	3008773	0.85	20	17	B	G	+	4	4	-	16	13
chr1	3009071	3009073	0.889	18	16	B	G	+	6	6	-	12	10
chr1	3009136	3009138	1	20	20	B	G	+	8	8	-	12	12
chr1	3010492	3010494	1	16	16	B	G	+	12	12	-	4	4
chr1	3010644	3010646	0.875	24	21	B	G	+	20	17	-	4	4
chr1	3010819	3010821	0.5	2	1	B	G	+	1	1	-	1	0
chr1	3011264	3011266	0.728	11	8	B	G	+	3	2	-	8	6
chr1	3011312	3011314	1	3	3	B	G	+	2	2	-	1	1
chr1	3011549	3011551	1	4	4	B	G	+	2	2	-	2	2
chr1	3012095	3012097	0.889	9	8	B	G	+	5	5	-	4	3
chr1	3012256	3012258	0.819	11	9	B	G	+	7	6	-	4	3
chr1	3012304	3012306	0.924	13	12	B	G	+	10	10	-	3	2
chr1	3012517	3012519	0.53	17	9	B	G	+	9	5	-	8	4
chr1	3012839	3012841	0.75	8	6	B	G	+	5	3	-	3	3
chr1	3013471	3013473	1	8	8	B	G	+	3	3	-	5	5
chr1	3013519	3013521	1	5	5	B	G	+	1	1	-	4	4
chr1	3013578	3013580	0.5	2	1	-	G	+	0	0	-	2	1
chr1	3013931	3013933	1	3	3	B	G	+	2	2	-	1	1
chr1	3014531	3014533	0.864	22	19	B	G	+	6	5	-	16	14
chr1	3014554	3014556	0.889	18	16	B	G	+	5	5	-	13	11
chr1	3014600	3014602	0.867	15	13	B	G	+	5	5	-	10	8
chr1	3014610	3014612	0.934	15	14	B	G	+	5	5	-	10	9
chr1	3014698	3014700	1	24	24	B	G	+	9	9	-	15	15
chr1	3014740	3014742	0.889	18	16	B	G	+	8	7	-	10	9
chr1	3014773	3014775	0.77	13	10	B	G	+	7	6	-	6	4
chr1	3014863	3014865	1	6	6	B	G	+	2	2	-	4	4
chr1	3014927	3014929	0.929	14	13	B	G	+	7	7	-	7	6
chr1	3014973	3014975	0.929	14	13	B	G	+	9	9	-	5	4
chr1	3015067	3015069	0.883	17	15	B	G	+	11	10	-	6	5
chr1	3015123	3015125	1	15	15	B	G	+	8	8	-	7	7
chr1	3015453	3015455	0.847	13	11	B	G	+	5	3	-	8	8
chr1	3015684	3015686	1	11	11	B	G	+	3	3	-	8	8
chr1	3015765	3015767	0.95	20	19	B	G	+	11	10	-	9	9
chr1	3015846	3015848	0.875	16	14	B	G	+	4	4	-	12	10
